token,pos,frequency
原,名詞,132
そば,名詞,132
岡,名詞,132
風景,名詞,131
紙,名詞,131
さて,接続詞,131
傳,名詞,131
富士,名詞,131
レ,名詞,131
明日,名詞,131
掛ける,動詞,131
個,名詞,130
実,名詞,130
それら,名詞,130
京,名詞,130
戻る,動詞,130
はり,名詞,130
なほ,名詞,130
ひとつ,名詞,130
短い,形容詞,130
続ける,動詞,130
壁,名詞,130
学者,名詞,129
ついに,副詞,129
すむ,動詞,129
たいへん,副詞,129
貰,名詞,129
いづ,動詞,129
当る,動詞,129
方面,名詞,128
並ぶ,動詞,128
表情,名詞,128
実は,接続詞,128
見つける,動詞,128
理解,名詞,128
十月,名詞,128
諸君,名詞,128
やく,動詞,128
返事,名詞,127
そのもの,名詞,127
訪ねる,動詞,127
匹,名詞,127
暫く,副詞,127
仕方,名詞,127
生徒,名詞,127
ちゃん,名詞,127
ちがい,名詞,127
好い,形容詞,127
いただく,動詞,127
大いに,副詞,127
玄関,名詞,127
癖,名詞,126
たくさん,名詞,126
湯,名詞,126
間もなく,副詞,126
ノ,助詞,126
兵,名詞,126
瞬間,名詞,126
前後,名詞,125
はい,感動詞,125
許す,動詞,125
かい,助詞,125
多少,副詞,125
山女,名詞,125
這入る,動詞,125
加,名詞,125
医者,名詞,125
無い,助動詞,125
ちや,名詞,125
並べる,動詞,124
散歩,名詞,124
運ぶ,動詞,124
頼む,動詞,124
流す,動詞,124
人類,名詞,124
空気,名詞,124
かねる,動詞,124
夕方,名詞,124
浮ぶ,動詞,124
ちょうど,副詞,124
気づく,動詞,124
やす,助動詞,124
機,名詞,124
年間,名詞,123
何だか,副詞,123
あらゆる,連体詞,123
屋根,名詞,123
動物,名詞,123
別れる,動詞,123
尾,名詞,123
意識,名詞,123
洲,名詞,123
戸,名詞,122
焼く,動詞,122
仏,名詞,122
十一月,名詞,122
六月,名詞,122
友達,名詞,122
結局,名詞,122
小文字,名詞,121
いくら,名詞,121
鋭い,形容詞,121
読者,名詞,121
趣,名詞,121
はん,名詞,121
