token,pos,frequency
鳥,名詞,36
趣味,名詞,36
亭主,名詞,36
殴る,動詞,36
一生,名詞,36
青い,形容詞,36
空,名詞,36
焼く,動詞,36
匹,名詞,36
落す,動詞,36
掛ける,動詞,36
汗,名詞,36
血,名詞,36
きまる,動詞,36
句,名詞,36
ちら,副詞,36
状態,名詞,36
汐田,名詞,36
真似,名詞,36
可愛い,形容詞,36
夫婦,名詞,36
たべる,動詞,36
だます,動詞,35
返事,名詞,35
吐く,動詞,35
癖,名詞,35
門,名詞,35
非常,名詞,35
思わず,副詞,35
地獄,名詞,35
点,名詞,35
説明,名詞,35
叔母,名詞,35
歌う,動詞,35
青森,名詞,35
す,接頭詞,35
旅,名詞,35
白,名詞,35
永い,形容詞,35
給う,動詞,35
人物,名詞,35
我,名詞,35
近い,形容詞,35
街,名詞,35
いつか,名詞,35
見つめる,動詞,35
腕,名詞,35
成功,名詞,35
父親,名詞,35
帰り,名詞,35
優しい,形容詞,35
部,名詞,34
わく,動詞,34
かねる,動詞,34
末,名詞,34
と共に,助詞,34
疲れる,動詞,34
云う,動詞,34
腰,名詞,34
売れる,動詞,34
あいつ,名詞,34
ねえ,助詞,34
冷,名詞,34
自己,名詞,34
あんなに,副詞,34
行う,動詞,34
続ける,動詞,34
あらう,動詞,34
書房,名詞,34
廊下,名詞,34
論,名詞,34
芸者,名詞,34
どうやら,副詞,34
ける,動詞,34
皮膚,名詞,34
先,名詞,33
彼女,名詞,33
つづく,動詞,33
お話,名詞,33
たって,助詞,33
ご存じ,名詞,33
合せる,動詞,33
恋愛,名詞,33
一夜,名詞,33
意識,名詞,33
持,名詞,33
かん,名詞,33
扇,名詞,33
悪口,名詞,33
何やら,副詞,33
歯,名詞,33
助,名詞,33
編輯,名詞,33
類,名詞,33
洲,名詞,33
たてる,動詞,33
おん,名詞,33
破る,動詞,33
不,接頭詞,33
肉体,名詞,33
覚悟,名詞,33
立ち上る,動詞,33
令嬢,名詞,33
嫂,名詞,33
驚く,動詞,33
病気,名詞,33
工合,名詞,33
噂,名詞,33
姉,名詞,33
よし,副詞,33
まわる,動詞,33
ゆうべ,名詞,33
大学,名詞,33
去る,動詞,32
さ,副詞,32
なお,接続詞,32
大きな,連体詞,32
草,名詞,32
仲間,名詞,32
不安,名詞,32
叱る,動詞,32
津軽,名詞,32
病院,名詞,32
よる,動詞,32
おろす,動詞,32
情,名詞,32
縁,名詞,32
細い,形容詞,32
申し上げる,動詞,32
わかれる,動詞,32
けり,助動詞,32
出,名詞,32
うなずく,動詞,32
こうして,接続詞,32
実は,接続詞,32
北,名詞,32
種,名詞,32
冬,名詞,32
兎,名詞,32
我慢,名詞,32
恐怖,名詞,32
浪,名詞,32
地,名詞,32
おかげ,名詞,32
