token,pos,frequency
もる,動詞,70
おかしい,形容詞,70
かむ,動詞,70
さらに,副詞,69
工合,名詞,69
たって,助詞,69
思わず,副詞,69
ゆく,動詞,69
大いに,副詞,69
にとって,助詞,69
重い,形容詞,69
けど,助詞,69
奥さん,名詞,69
銀,名詞,69
田舎,名詞,69
軽蔑,名詞,68
達二,名詞,68
そういう,連体詞,68
美,名詞,68
許す,動詞,68
がた,名詞,68
一種,名詞,68
あく,動詞,68
おのれ,名詞,68
面,名詞,68
近い,形容詞,68
微笑,名詞,68
寸,名詞,68
やく,動詞,68
路,名詞,67
脚,名詞,67
研究,名詞,67
驚く,動詞,67
あわてる,動詞,67
銭,名詞,67
空気,名詞,67
額,名詞,67
國,名詞,67
わく,動詞,67
借りる,動詞,67
愛,名詞,67
猿,名詞,67
出版,名詞,67
どる,動詞,67
不,接頭詞,67
筆,名詞,67
たしか,名詞,67
廻る,動詞,67
松,名詞,67
戦争,名詞,67
紙,名詞,66
温泉,名詞,66
とう,副詞,66
語,名詞,66
認める,動詞,66
こん,名詞,66
負ける,動詞,66
蟹,名詞,66
まつ,名詞,66
一生,名詞,66
あいつ,名詞,66
愛す,動詞,66
是,名詞,66
女性,名詞,65
固い,形容詞,65
抱く,動詞,65
咲く,動詞,65
約束,名詞,65
奴,名詞,65
家内,名詞,65
そば,名詞,65
見つける,動詞,65
こういう,連体詞,65
有,名詞,65
南,名詞,65
仲間,名詞,65
吾,名詞,65
公,名詞,65
歯,名詞,65
終る,動詞,65
いったい,副詞,65
当時,名詞,65
吐く,動詞,64
批評,名詞,64
出かける,動詞,64
ばら,名詞,64
んで,助詞,64
あし,名詞,64
あまり,名詞,64
たん,名詞,64
つぶやく,動詞,64
立ちあがる,動詞,64
新,接頭詞,64
ごろ,名詞,64
かぶる,動詞,64
あかり,名詞,64
平気,名詞,64
至る,動詞,64
太宰,名詞,64
痛い,形容詞,64
ガラス,名詞,64
童子,名詞,64
大変,名詞,64
おいで,名詞,64
ぐらい,助詞,63
黄いろ,名詞,63
答,名詞,63
尋ねる,動詞,63
甲府,名詞,63
途中,名詞,63
まったく,副詞,63
畳,名詞,63
箱,名詞,63
玉,名詞,63
いらっしゃる,動詞,63
然,副詞,63
滝,名詞,63
国家,名詞,63
丁度,副詞,63
持,名詞,63
関係,名詞,63
なんにも,副詞,63
失礼,名詞,63
写真,名詞,63
冗談,名詞,62
ぼんやり,名詞,62
ちょう,名詞,62
さて,接続詞,62
ちかい,形容詞,62
させる,動詞,62
調子,名詞,62
恥ずかしい,形容詞,62
うすい,形容詞,62
昭和,名詞,62
違い,名詞,62
ゆえ,名詞,62
眠る,動詞,62
ちゃう,動詞,62
たてる,動詞,62
恥,名詞,62
映画,名詞,61
なるほど,感動詞,61
ありがとう,感動詞,61
挙げる,動詞,61
感,名詞,61
靴,名詞,61
はあ,感動詞,61
柏,名詞,61
と共に,助詞,61
切れる,動詞,61
毛,名詞,61
冷,名詞,61
はつ,名詞,61
かまう,動詞,61
ひとり,副詞,61
いや,感動詞,61
無い,助動詞,61
ふむ,動詞,61
存在,名詞,61
らん,名詞,60
なり,名詞,60
なみ,名詞,60
しずか,名詞,60
現実,名詞,60
たまらない,形容詞,60
ひそか,名詞,60
道徳,名詞,60
さけぶ,動詞,60
親,名詞,60
教師,名詞,60
句,名詞,60
奥さま,名詞,60
合せる,動詞,60
ごらん,名詞,60
張る,動詞,60
別,名詞,60
種,名詞,60
内,名詞,60
勝手,名詞,60
さびしい,形容詞,60
たちまち,副詞,60
がい,名詞,60
飛,名詞,59
腰,名詞,59
気がつく,動詞,59
